,0
0,https://www.baseball-reference.com/boxes/ARI/ARI201803290.shtml
1,https://www.baseball-reference.com/boxes/ATL/ATL201803290.shtml
2,https://www.baseball-reference.com/boxes/BAL/BAL201803290.shtml
3,https://www.baseball-reference.com/boxes/KCA/KCA201803290.shtml
4,https://www.baseball-reference.com/boxes/LAN/LAN201803290.shtml
5,https://www.baseball-reference.com/boxes/MIA/MIA201803290.shtml
6,https://www.baseball-reference.com/boxes/NYN/NYN201803290.shtml
7,https://www.baseball-reference.com/boxes/OAK/OAK201803290.shtml
8,https://www.baseball-reference.com/boxes/SDN/SDN201803290.shtml
9,https://www.baseball-reference.com/boxes/SEA/SEA201803290.shtml
10,https://www.baseball-reference.com/boxes/TBA/TBA201803290.shtml
11,https://www.baseball-reference.com/boxes/TEX/TEX201803290.shtml
12,https://www.baseball-reference.com/boxes/TOR/TOR201803290.shtml
13,https://www.baseball-reference.com/boxes/ARI/ARI201803300.shtml
14,https://www.baseball-reference.com/boxes/ATL/ATL201803300.shtml
15,https://www.baseball-reference.com/boxes/CIN/CIN201803300.shtml
16,https://www.baseball-reference.com/boxes/DET/DET201803300.shtml
17,https://www.baseball-reference.com/boxes/LAN/LAN201803300.shtml
18,https://www.baseball-reference.com/boxes/MIA/MIA201803300.shtml
19,https://www.baseball-reference.com/boxes/OAK/OAK201803300.shtml
20,https://www.baseball-reference.com/boxes/SDN/SDN201803300.shtml
21,https://www.baseball-reference.com/boxes/TBA/TBA201803300.shtml
22,https://www.baseball-reference.com/boxes/TEX/TEX201803300.shtml
23,https://www.baseball-reference.com/boxes/TOR/TOR201803300.shtml
24,https://www.baseball-reference.com/boxes/ARI/ARI201803310.shtml
25,https://www.baseball-reference.com/boxes/ATL/ATL201803310.shtml
26,https://www.baseball-reference.com/boxes/BAL/BAL201803310.shtml
27,https://www.baseball-reference.com/boxes/CIN/CIN201803310.shtml
28,https://www.baseball-reference.com/boxes/KCA/KCA201803310.shtml
29,https://www.baseball-reference.com/boxes/LAN/LAN201803310.shtml
30,https://www.baseball-reference.com/boxes/MIA/MIA201803310.shtml
31,https://www.baseball-reference.com/boxes/NYN/NYN201803310.shtml
32,https://www.baseball-reference.com/boxes/OAK/OAK201803310.shtml
33,https://www.baseball-reference.com/boxes/SDN/SDN201803310.shtml
34,https://www.baseball-reference.com/boxes/SEA/SEA201803310.shtml
35,https://www.baseball-reference.com/boxes/TBA/TBA201803310.shtml
36,https://www.baseball-reference.com/boxes/TEX/TEX201803310.shtml
37,https://www.baseball-reference.com/boxes/TOR/TOR201803310.shtml
38,https://www.baseball-reference.com/boxes/BAL/BAL201804010.shtml
39,https://www.baseball-reference.com/boxes/CIN/CIN201804010.shtml
40,https://www.baseball-reference.com/boxes/DET/DET201804011.shtml
41,https://www.baseball-reference.com/boxes/DET/DET201804012.shtml
42,https://www.baseball-reference.com/boxes/LAN/LAN201804010.shtml
43,https://www.baseball-reference.com/boxes/MIA/MIA201804010.shtml
44,https://www.baseball-reference.com/boxes/NYN/NYN201804010.shtml
45,https://www.baseball-reference.com/boxes/OAK/OAK201804010.shtml
46,https://www.baseball-reference.com/boxes/SEA/SEA201804010.shtml
47,https://www.baseball-reference.com/boxes/TBA/TBA201804010.shtml
48,https://www.baseball-reference.com/boxes/TEX/TEX201804010.shtml
49,https://www.baseball-reference.com/boxes/TOR/TOR201804010.shtml
50,https://www.baseball-reference.com/boxes/ANA/ANA201804020.shtml
51,https://www.baseball-reference.com/boxes/ARI/ARI201804020.shtml
52,https://www.baseball-reference.com/boxes/ATL/ATL201804020.shtml
53,https://www.baseball-reference.com/boxes/CIN/CIN201804020.shtml
54,https://www.baseball-reference.com/boxes/DET/DET201804020.shtml
55,https://www.baseball-reference.com/boxes/HOU/HOU201804020.shtml
56,https://www.baseball-reference.com/boxes/MIA/MIA201804020.shtml
57,https://www.baseball-reference.com/boxes/MIL/MIL201804020.shtml
58,https://www.baseball-reference.com/boxes/OAK/OAK201804020.shtml
59,https://www.baseball-reference.com/boxes/PIT/PIT201804020.shtml
60,https://www.baseball-reference.com/boxes/SDN/SDN201804020.shtml
61,https://www.baseball-reference.com/boxes/TOR/TOR201804020.shtml
62,https://www.baseball-reference.com/boxes/ANA/ANA201804030.shtml
63,https://www.baseball-reference.com/boxes/ARI/ARI201804030.shtml
64,https://www.baseball-reference.com/boxes/ATL/ATL201804030.shtml
65,https://www.baseball-reference.com/boxes/DET/DET201804030.shtml
66,https://www.baseball-reference.com/boxes/HOU/HOU201804030.shtml
67,https://www.baseball-reference.com/boxes/MIA/MIA201804030.shtml
68,https://www.baseball-reference.com/boxes/MIL/MIL201804030.shtml
69,https://www.baseball-reference.com/boxes/NYA/NYA201804030.shtml
70,https://www.baseball-reference.com/boxes/NYN/NYN201804030.shtml
71,https://www.baseball-reference.com/boxes/OAK/OAK201804030.shtml
72,https://www.baseball-reference.com/boxes/SDN/SDN201804030.shtml
73,https://www.baseball-reference.com/boxes/SFN/SFN201804030.shtml
74,https://www.baseball-reference.com/boxes/TOR/TOR201804030.shtml
75,https://www.baseball-reference.com/boxes/ANA/ANA201804040.shtml
76,https://www.baseball-reference.com/boxes/ARI/ARI201804040.shtml
77,https://www.baseball-reference.com/boxes/ATL/ATL201804040.shtml
78,https://www.baseball-reference.com/boxes/HOU/HOU201804040.shtml
79,https://www.baseball-reference.com/boxes/MIL/MIL201804040.shtml
80,https://www.baseball-reference.com/boxes/NYA/NYA201804040.shtml
81,https://www.baseball-reference.com/boxes/NYN/NYN201804040.shtml
82,https://www.baseball-reference.com/boxes/OAK/OAK201804040.shtml
83,https://www.baseball-reference.com/boxes/PIT/PIT201804040.shtml
84,https://www.baseball-reference.com/boxes/SDN/SDN201804040.shtml
85,https://www.baseball-reference.com/boxes/SFN/SFN201804040.shtml
86,https://www.baseball-reference.com/boxes/TOR/TOR201804040.shtml
87,https://www.baseball-reference.com/boxes/BOS/BOS201804050.shtml
88,https://www.baseball-reference.com/boxes/CHA/CHA201804050.shtml
89,https://www.baseball-reference.com/boxes/MIL/MIL201804050.shtml
90,https://www.baseball-reference.com/boxes/MIN/MIN201804050.shtml
91,https://www.baseball-reference.com/boxes/NYA/NYA201804050.shtml
92,https://www.baseball-reference.com/boxes/OAK/OAK201804050.shtml
93,https://www.baseball-reference.com/boxes/PHI/PHI201804050.shtml
